cidade;url;cnpj-selector;login-selector;senha_seletor
PIMENTA/MG;https://nfsebrasil.net.br/nfse/login/untlogin.php;;EDT_cpf;EDT_senha
POUSO ALEGRE/MG;https://pousoalegre.sigiss.com.br/pousoalegre/contribuinte/login.php;;ccm;senha
POÇO FUNDO/MG;https://nfe.sgpcloud.net:9089/issweb/paginas/login;;username;password
REDUTO/MG;http://nfe.reduto.mg.gov.br/emissor/login.php;;txtLogin;txtSenha
S. SEBASTIAO DO PARAISO/MG;https://www.ereceita.net.br/inicial.php?time220684=220684173688030820250114154508220729&urlInicial=U0vOyUzNK0m1LS4uSCxKzCzOBwA%3D&session=19103121424340652nfse1736880303s045005700;acesso[cnpj];acesso[login];acesso[senha]
SANTA RITA DO SAPUCAI;https://santaritadosapucai.meumunicipio.online/ISS/contribuinte/login.php;;ccm;senha
SANTANA DA VARGEM/MG;https://e-gov.betha.com.br/e-nota/login.faces;;login:iUsuarios;login:senha
SANTANA DO MANHUAÇU/MG;https://mg-santanadomanhuacu-pm-nfs.cloud.el.com.br/;;j_idt57;j_idt61
SAO JOAO DEL REI/MG;https://parademinas.mg.issqn.quasar.srv.br/issqn/login.xhtml;;formPrincipal:login;formPrincipal:senha
SERRANIA/MG;https://e-gov.betha.com.br/e-nota/login.faces;;login:iUsuarios;login:senha
SIMONESIA/MG;https://mg-simonesia-pm-nfs.cloud.el.com.br/;;j_idt57;j_idt61
SOCORRO/SP;https://www.nfe-cidades.com.br/;;iss_username;iss_password
SOORETAMA/ES;https://es-sooretama-pm-nfs.cloud.el.com.br//paginas/sistema/login.jsf#/login;;usuario;senha
TEIXEIRA DE FREITAS/BA;http://trbteixeira.kbfsistemas.com.br/nfsePmTeixeiradeFreitas/;WFRInput583030;WFRInput583028;WFRInput583064
UBERLANDIA/MG;https://udigital.uberlandia.mg.gov.br/NotaFiscal/;;;
VARGINHA/MG;https://login.betha.cloud/servicelogin/login.faces?app=fdb52087-1e65-4995-8487-9616ad3a582f&continue=dUt3pl7deSJcIfYbNgSBvyszrVx7CtLXMQ8SyjaTDIyAxIspOkXzLADGEjv59FmVkDvvSbpRV9h8ufTnTBpXO7RI651ay-4W0qjEeiwAsRh590WUvojGGAx8rA2NiTkJI1Q3EuD6K-r2rbGgnDNe9XgU8WaRw6h_4mYxq9SeMgWQbkZ-IzgX38imstfmNwxw2-BoM5ajcs-gN-ts8y7-j9dst-buRr6YeRjGRRNuauekzrLef5MsNjHXgwor4DPaktucOD5sHMeI-8jZ-jrlgwEatZ0sVF1625bDZt5KBQdrekbjzorxnOgq79J419yMtRjZAX0PdgVNs53Fh5OdFP5nTmHFgw1-R1xVAhYlZ8Ifa2O45TZGEqHtsd2VShegcG3EW77fX0uUbDGlMurzLtTNP8nkNU9KPRmfVPW2QfOKTFjCwlseBz2EtbXOMFbYq1LkMqqCPO0DVAAuO2E3zuopRNPMx2KNcRmN4d9Mkydu6tKuBNUghiQSKVoMb7ZpT-5iW5QwpffKPuKq8pJhw0E_kgXIsi80ErQxo-4RycVaCsRze9ul2g==&mobile=false;;login:iUsuarios;login:senha
VITORIA/ES;https://nfse.vitoria.es.gov.br/;;login;senha
VIÇOSA/MG;https://vicosa.ereceita.net.br/;acesso[cnpj];acesso[login];acesso[senha]
